,사망률,평균가처분소득,교육환경 부족,평균 문해력 점수,NEET 비율,저체중 출산,유아사망률,모유수유비율,백신접종(백일해),백신접종(홍역),사망률,자살률,흡연율,음주율,10대 출산,왕따괴롭힘
　　　한국,22.36,21.65,1.8,541.67,7.5,4.3,5.3,81.3,97,90.2,22.36,6.78,37,24,3.7,19
　　　일본,18.23,22.48,5.6,517.33,8.4,9.5,2.8,96.6,93,94,18.23,7.73,35,27,3.7,23
　　　터키,21,5.07,13.6,431.67,37.7,11.3,23.6,96.8,90,91,21,1.7,13,16,39.7,25.3
　　　캐나다,23.43,25.61,2.1,529.33,6.1,5.9,5.3,84.5,78,94,23.43,10.05,8.6,18.8,13.2,14
　　　멕시코,50.23,5.34,13.7,408.67,17.3,8.8,18.8,92,98.1,96.4,50.23,5.13,12,13,65.8,15
　　　미국,32.67,29.2,4.8,481.5,6.1,8.1,6.8,74.2,85.7,91.5,32.67,7.7,8.1,10.2,49.8,11.9
　　　오스트리아,24.57,22.16,0.6,502,6.9,6.8,4.2,96,83,74,24.57,9.48,27.1,18.6,12.3,15.6
　　　벨기에,28.97,21.4,1,510.33,6.2,7.8,3.7,71.5,97,88,28.97,8.98,16.7,13.9,7.8,12.2
　　　체코,24.92,10.85,1.2,502,5.3,6.7,3.4,95.6,98.7,96.6,24.92,6.21,21.5,16.8,11.4,5.5
　　　덴마크,22.93,23.18,0.7,501,4.3,4.9,4.4,98,95,96,22.93,5.94,15,24.8,6.6,8
　　　핀란드,23.54,22.03,1,552.67,5.2,4.1,3,93,97,97,23.54,12.16,22,22.4,9.7,8
　　　프랑스,21.04,18.96,1.2,493,6.2,6.8,3.6,63,98,87.1,21.04,4.91,19,11.2,6.7,13.6
　　　독일,21.23,19.89,0.5,505,4.4,6.8,3.9,96,97.8,94,21.23,5.51,19.5,15.1,9.8,13.9
　　　그리스,23.15,17.18,6.1,464,9.8,8.8,3.8,79,88,88,23.15,1.26,16.5,10.3,8.7,22
　　　헝가리,25.75,9.46,2.1,492.33,6.4,8.2,6.2,95.8,99.8,99.8,25.75,6.81,21.5,17.7,20.7,6.6
　　　아이슬란드,16.95,22.29,0.4,493.67,13.8,3.9,2.3,98,97,94,16.95,7.84,13.5,10.5,16.9,5.4
　　　아일랜드,21.97,22.36,2.9,508.67,4.4,4.9,4,41,90,84,21.97,9.52,19.5,16.3,13.5,8.6
　　　이탈리아,21.76,17.18,1.2,468.67,11.2,6.7,4.7,81.1,94.7,87.3,21.76,2.44,20,10,6.8,7.9
　　　룩셈부르크,14.84,34.24,1.1,485,2.2,4.9,2.6,88,98.7,96,14.84,6.36,19,11.7,8.6,13.8
　　　네덜란드,20.49,25.04,0.6,521,3.9,6.2,4.9,79,95.8,96.3,20.49,3.5,18.5,12.1,4.7,8.5
　　　노르웨이,21.49,28.57,1.3,487,2.5,4.8,3.1,99,91,88,21.49,10.09,10.4,14,9.4,8.3
　　　폴란드,28.13,7.94,2.1,500.33,1.7,6.1,6.4,88,99,97,28.13,8.86,16.4,19.9,14.5,9.6
　　　포르투갈,34.6,13.84,1.4,470.67,8.4,7.5,3.5,91,93.3,92.7,34.6,2.43,10.6,10.9,18.1,14.1
　　　슬로바키아,30.15,7.8,3.8,482,6.3,7.2,7.2,87,99.2,99.5,30.15,5.04,16.4,16.8,20,16
　　　스페인,23.49,16.43,0.9,476.33,8.5,7.1,4.1,71,96.2,96.8,23.49,2.6,17.1,16.1,9.1,4.7
　　　스웨덴,19.27,19.92,1.6,504,4.7,4.2,2.4,97.6,99,95,19.27,6.78,8.5,13.8,6.8,4.2
　　　스위스,20.33,24.65,0.7,513.67,7.2,7,4.2,92,96,86,20.33,7.28,15,11.4,4.5,12.1
　　　영국,21.17,22.7,1.8,501.67,9.3,7.5,5.1,77,91.4,83.8,21.17,2.99,15.9,22.1,24.8,9.7
　　　오스트레일리아,23.66,20.81,2.2,520,7.4,6.4,5,92,92.2,94,23.66,8.51,14,17,14.3,8
　　　뉴질랜드,32.05,17.2,2.2,524.33,8.5,6.1,5.1,87.8,88.6,82,32.05,15.95,12,14,23.4,6
,,,,,,,,,,,,,,,,
